atleta_id,apelido,posicao,posicao_id,preco,score,clube_id,clube_abrev,role,is_captain,is_luxury,team_id,formation,budget,preco_main,preco_bench,preco_total,score_total,budget_ok,min_cost_required,budget_left,captain_mult
103056,Gabriel Brazão,GOL,1,10.0,4.152236842105263,277,SAN,starter,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
132553,Jemmes,ZAG,3,6.0,4.199572072072072,266,FLU,starter,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
101908,Willian Machado,ZAG,3,5.0,3.314394736842105,2305,MIR,starter,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
89275,William,LAT,2,12.0,5.235236486486487,283,CRU,starter,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
91706,Marlon,LAT,2,8.0,4.347725225225226,284,GRE,starter,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
87863,Arrascaeta,MEI,4,23.0,5.018995299647473,262,FLA,starter,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
96610,Matheus Pereira,MEI,4,20.0,4.665802083333333,283,CRU,starter,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
117632,Garro,MEI,4,12.0,4.4843607305936075,264,COR,starter,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
39148,Hulk,ATA,5,16.0,5.585869932432432,282,CAM,starter,True,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
98873,Samuel Lino,ATA,5,9.0,5.487460317460318,262,FLA,starter,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
111951,Renzo López,ATA,5,3.0,1.3764102564102565,287,VIT,starter,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
73481,Gilmar Dal Pozzo,TEC,6,3.0,0.0,315,CHA,coach,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
130842,Matheus Soares,GOL,1,1.0,0.0,293,CAP,bench,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
123649,Janderson,ZAG,3,1.0,0.14583333333333334,283,CRU,bench,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
122316,Batata,LAT,2,1.0,0.0,293,CAP,bench,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
127970,Felipe Chiqueti,MEI,4,1.0,0.18,293,CAP,bench,False,False,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
122127,Fernando,ATA,5,1.0,0.2826923076923077,283,CRU,bench,False,True,1,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
103056,Gabriel Brazão,GOL,1,10.0,4.152236842105263,277,SAN,starter,False,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
132553,Jemmes,ZAG,3,6.0,4.199572072072072,266,FLU,starter,False,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
101908,Willian Machado,ZAG,3,5.0,3.314394736842105,2305,MIR,starter,False,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
89275,William,LAT,2,12.0,5.235236486486487,283,CRU,starter,False,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
91706,Marlon,LAT,2,8.0,4.347725225225226,284,GRE,starter,False,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
87863,Arrascaeta,MEI,4,23.0,5.018995299647473,262,FLA,starter,False,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
96610,Matheus Pereira,MEI,4,20.0,4.665802083333333,283,CRU,starter,False,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
117632,Garro,MEI,4,12.0,4.4843607305936075,264,COR,starter,False,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
39148,Hulk,ATA,5,16.0,5.585869932432432,282,CAM,starter,True,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
98873,Samuel Lino,ATA,5,9.0,5.487460317460318,262,FLA,starter,False,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
111951,Renzo López,ATA,5,3.0,1.3764102564102565,287,VIT,starter,False,False,2,4-3-3,127.5,127.0,5.0,132.0,50.66099894882479,1,14.0,0.5,1.5
